wavelength_nm_reported,counts
1027.034,3287.95913
1027.249,3314.09896
1027.463,3266.84603
1027.678,3194.45719
1027.893,3183.39764
1028.107,3178.37056
1028.322,3132.12103
1028.537,3051.68545
1028.751,3032.58171
1028.966,2933.03927
1029.18,2867.68143
1029.395,2858.63178
1029.609,2778.18932
1029.823,2730.92843
1030.037,2708.80608
1030.252,2.76741
1030.466,-3.27058
1030.68,-3.27058
1030.894,-3.27058
